writeup_id,topic_id,url,title,description,authors,content_state,create_time,publish_time,update_time,application_links,youtube_links,application_links_json,youtube_links_json,markdown_path,json_path,category,confidence,keywords_cn
53335,651881,/competitions/gemini-3/writeups/new-writeup-1764958735984,AfriLex AI,AfriLex AI is a Pan-African legal-rights assistant built with Gemini 3 Pro’s multimodal and multilingual intelligence.,Tesfayegec,PUBLISHED,2025-12-05T18:18:58.485604800Z,2025-12-11T21:04:58.593Z,2025-12-11T21:04:58.593009200Z,https://ai.studio/apps/drive/1PG3MPBKxmx2wYxIbGQQR2kgY-8KcwxPn?fullscreenApplet=true,https://youtu.be/WLsTpreB8fo,"[{""id"": 81063, ""title"": ""AfriLex AI"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://ai.studio/apps/drive/1PG3MPBKxmx2wYxIbGQQR2kgY-8KcwxPn?fullscreenApplet=true"", ""description"": ""AfriLex AI is a Pan-African legal-rights assistant built with Gemini 3 Pro’s multimodal and multilingual intelligence."", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 81061, ""title"": ""AfriLex AI Companion"", ""location"": ""CAROUSEL"", ""url"": ""https://youtu.be/WLsTpreB8fo"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53335.md,writeups/53335.json,Legal & Compliance,high,"法律咨询,非洲,多语言,人工智能"
53354,651901,/competitions/gemini-3/writeups/new-writeup-1764959193512,Orgy - The Organic Health Movement ,"Creating a seamless experience to transition into organic healthy eating, healing, and achieving nutritional balance.",GREGORY OKEKE,PUBLISHED,2025-12-05T18:26:34.400441800Z,2025-12-12T14:27:09.050Z,2025-12-12T14:27:09.051667100Z,https://the-orgy-app-978039071881.us-west1.run.app/;https://orgy-health.vercel.app/profile;https://okekegreg123.wistia.com/medias/rt6he4h9r2,,"[{""id"": 84373, ""title"": ""Orgy App AI Studio "", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://the-orgy-app-978039071881.us-west1.run.app/"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}, {""id"": 84374, ""title"": ""The Orgy App (production)"", ""sortKey"": 1, ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://orgy-health.vercel.app/profile"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}, {""id"": 84884, ""title"": ""Explainer video "", ""sortKey"": 2, ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://okekegreg123.wistia.com/medias/rt6he4h9r2"", ""description"": ""Complete walk through of the app and it's features "", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",[],writeups/53354.md,writeups/53354.json,Fitness & Nutrition,high,"有机食品,健康饮食,营养平衡"
53357,651904,/competitions/gemini-3/writeups/new-writeup-1764959315336,I built AURA Creator Studio ,Transforming Ideas into Digital Gold,ANIRUDDHA ADAK,PUBLISHED,2025-12-05T18:28:35.254026800Z,2025-12-05T19:02:59.993Z,2025-12-05T19:02:59.993868600Z,https://ai.studio/apps/drive/1kBNY4QcLZ8AXmijm1V4zK54W9OD6RaVj?fullscreenApplet=true,https://www.youtube.com/watch?v=EQ7-koQHMy0,"[{""id"": 72421, ""title"": ""Aura Creator Studio"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://ai.studio/apps/drive/1kBNY4QcLZ8AXmijm1V4zK54W9OD6RaVj?fullscreenApplet=true"", ""description"": ""Transforming Ideas into Digital Gold"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 72422, ""title"": ""AURA Creator Studio -- Vibe Code with Gemini 3 Pro in AI Studio"", ""location"": ""CAROUSEL"", ""url"": ""https://www.youtube.com/watch?v=EQ7-koQHMy0"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53357.md,writeups/53357.json,Content Creation & Media,medium,"内容创作,数字化,创意工具"
53361,651908,/competitions/gemini-3/writeups/new-writeup-1764959415332,Onlygains.ai,Personal coach that tracks and manages fitness and nutrition and recovery of athletes.,Chaitanya Giri,PUBLISHED,2025-12-05T18:30:15.596585Z,2025-12-08T08:36:03.490Z,2025-12-08T08:36:03.490462100Z,https://onlygains.ai,https://youtu.be/2Sdm2ViE6gA,"[{""id"": 74572, ""title"": ""Onlygains.ai website"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://onlygains.ai"", ""description"": ""OnlyGains AI web app is live for everyone to use."", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 74573, ""title"": ""onlygains v1 platform launch video"", ""location"": ""CAROUSEL"", ""url"": ""https://youtu.be/2Sdm2ViE6gA"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53361.md,writeups/53361.json,Fitness & Nutrition,high,"健身教练,营养管理,运动追踪,人工智能"
53363,651910,/competitions/gemini-3/writeups/new-writeup-1764959458143,Stat'master by F2X,"Stat'Master: AI app for 9th-graders to master statistics with interactive lessons, endless practice, AI homework scan, personalized tutor.",eddy unamed,PUBLISHED,2025-12-05T18:30:58.074108600Z,2025-12-11T12:24:51.593Z,2025-12-11T12:24:51.592366300Z,https://stat-master-3-me-104669827200.us-west1.run.app/,https://youtu.be/YNnKrlFVw5E,"[{""id"": 79192, ""title"": ""Stat'Master 3ème"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://stat-master-3-me-104669827200.us-west1.run.app/"", ""description"": ""Stat'Master: AI app for 9th-graders to master statistics with interactive lessons, endless practice, AI homework scan, personalized tutor."", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 79193, ""title"": ""Stat'master by F2X"", ""location"": ""CAROUSEL"", ""url"": ""https://youtu.be/YNnKrlFVw5E"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53363.md,writeups/53363.json,Education & Learning,high,"统计学习,教育辅导,作业扫描,个性化教学"
53368,651915,/competitions/gemini-3/writeups/new-writeup-1764959747065,Penny AI - Gemini 3 Pro AI studio Hackathon,"Penny AI: AI Finance tracker featuring 3D budget visualization voice logging, splitting, and a context-aware reasoning chat assistant",AdamAmr05,PUBLISHED,2025-12-05T18:35:47.624335600Z,2025-12-11T16:48:38.427Z,2025-12-11T16:48:38.427141100Z,https://ai.studio/apps/drive/17Oi-tMhzh4AoppsNZcJRAHJkuqtLGuhq?fullscreenApplet=true,https://youtu.be/KdToQYQe2Ps,"[{""id"": 80033, ""title"": ""Penny AI - G3P AIS Hackathon - Please try out in mobile view"", ""sortKey"": 1, ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://ai.studio/apps/drive/17Oi-tMhzh4AoppsNZcJRAHJkuqtLGuhq?fullscreenApplet=true"", ""description"": ""Gemini 3 Pro AI studio Hackathon App, to get the best out of it and how its supposed to look please use it in mobile view"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 80034, ""title"": ""YouTube Demo of Penny AI"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://youtu.be/KdToQYQe2Ps"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53368.md,writeups/53368.json,Finance & Investment,high,"财务管理,预算可视化,语音记录,智能助手"
53374,651922,/competitions/gemini-3/writeups/renalytics,Renalytics,A web application to help in the early detection of Chronic Kidney Disease (CKD) by assessing risk factors,Pau Reig,PUBLISHED,2025-12-05T18:46:08.579439700Z,2025-12-05T19:26:54.910Z,2025-12-08T17:05:15.788420200Z,https://ai.studio/apps/drive/1YKu3mdzFEWlaxSU49Cp1aljaEdE-twe_?fullscreenApplet=true,,"[{""id"": 72424, ""title"": ""Renalytics"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://ai.studio/apps/drive/1YKu3mdzFEWlaxSU49Cp1aljaEdE-twe_?fullscreenApplet=true"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",[],writeups/53374.md,writeups/53374.json,Healthcare & Medical,high,"肾病检测,健康风险评估,医疗诊断"
53376,651924,/competitions/gemini-3/writeups/mediscan360,MediScan360 - AI Powered Multimodal Health Triage & Doctor Assistant,"MediScan360: AI health assistant analyzing symptoms, reports, prescriptions, and images to provide risk, urgency, and doctor-ready summaries","Abdulla Al Noman, Nazrul Islam Rafi , Shihab Sarar007",PUBLISHED,2025-12-05T18:46:28.613952300Z,2025-12-11T20:14:03.973Z,2025-12-11T20:14:03.973439Z,https://github.com/abdulla2025/mediscan360,https://youtu.be/YY-4NpjVJm8,"[{""id"": 80154, ""title"": ""MediScan360"", ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://github.com/abdulla2025/mediscan360"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 80840, ""title"": ""MediScan360 - AI Powered Multimodal Health Triage & Doctor Assistant"", ""location"": ""CAROUSEL"", ""url"": ""https://youtu.be/YY-4NpjVJm8"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53376.md,writeups/53376.json,Healthcare & Medical,high,"健康诊断,症状分析,医疗影像,智能分诊"
53377,651925,/competitions/gemini-3/writeups/VerifiedHands-ai-certification,Verified Hands: The Multimodal AI Proctor,An AI verification system that audits performance and grades trade skills with strict security checks.,AmalABI2003,PUBLISHED,2025-12-05T18:46:32.361880700Z,2025-12-12T20:33:15.427Z,2025-12-12T20:33:15.426697100Z,https://ai.studio/apps/drive/1SlpK7drxOlUWdsc_CXnotS-I1c5ipvDh,https://youtu.be/xfQ4sW8_pww,"[{""id"": 90939, ""title"": ""Verified hands app"", ""sortKey"": 1, ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://ai.studio/apps/drive/1SlpK7drxOlUWdsc_CXnotS-I1c5ipvDh"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 90940, ""title"": ""Verified Hands: AI Trade Certification (Built with Gemini 3 Pro)"", ""location"": ""CAROUSEL"", ""url"": ""https://youtu.be/xfQ4sW8_pww"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53377.md,writeups/53377.json,Education & Learning,medium,"技能考核,人工智能监考,绩效审计"
53388,651936,/competitions/gemini-3/writeups/new-writeup-1764960973367,VibeHow_V0,Vibe Generating Visual Instructions For How-To Questions In Daily Life,PilotLH,PUBLISHED,2025-12-05T18:56:13.482401Z,2025-12-12T18:57:00.223Z,2025-12-12T18:57:00.223126200Z,https://ai.studio/apps/drive/1B1JU1mS_7ppqEIl918r74PgoN_ogeFXI?fullscreenApplet=true,https://www.youtube.com/watch?v=KROhOIzYMwI,"[{""id"": 89065, ""title"": ""AI Studio App Link"", ""sortKey"": 1, ""location"": ""ADDITIONAL_LINKS"", ""url"": ""https://ai.studio/apps/drive/1B1JU1mS_7ppqEIl918r74PgoN_ogeFXI?fullscreenApplet=true"", ""description"": """", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]","[{""id"": 89066, ""title"": ""VibeHow"", ""location"": ""CAROUSEL"", ""url"": ""https://www.youtube.com/watch?v=KROhOIzYMwI"", ""description"": """", ""mediaType"": ""VIDEO"", ""resource"": {""upvoteCount"": 0, ""usabilityRating"": 0}}]",writeups/53388.md,writeups/53388.json,Content Creation & Media,medium,"视觉指南,生活教程,操作说明"
